Date,Call_Amount,Call_WACR,Call_Min,Call_Max,Triparty_Amount,Triparty_WACR,MarketRepo_Amount,MarketRepo_WACR,Overnight_Total,MSF_Amount,MSF_Rate,SDF_Amount,SDF_Rate
2020-07-01,12131.76,3.550136,1.8,4.1,187620.8,2.8962,112389.99,3.0201,313867.55,0.0,4.25,,
2020-07-02,12629.28,3.512297,1.8,4.1,176707.85,2.9437,110716.91,2.9421,301749.04,50.0,4.25,,
2020-07-03,626.2,2.777631,2.15,4.0,1946.0,3.1015,0.0,,3522.2,10.0,4.25,,
2020-07-04,1098.75,2.48446,2.15,3.3,6020.25,3.3372,0.0,,7119.0,0.0,4.25,,
2020-07-05,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,4.25,,
2020-07-06,12869.08,3.499706,1.8,4.1,163759.65,3.1371,101437.43,3.1608,279711.16,1504.0,4.25,,
2020-07-07,11974.47,3.465526,1.8,4.1,196981.7,3.1102,80441.34,3.1604,289397.51,0.0,4.25,,
2020-07-08,13047.57,3.509011,1.8,4.1,177955.5,3.1448,89229.04,3.1793,280232.11,0.0,4.25,,
2020-07-09,13314.46,3.516221,1.8,4.05,181344.55,3.1314,97035.57,3.1522,292669.58,600.0,4.25,,
2020-07-10,12021.24,3.503726,1.8,4.1,182833.35,3.1265,85202.72,3.1329,280132.31,20.0,4.25,,
2020-07-12,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,4.25,,
2020-07-13,12366.72,3.467414,1.8,4.1,166330.95,3.1006,97168.7,3.1305,275866.37,0.0,4.25,,
2020-07-14,12148.29,3.46232,1.8,4.1,197630.25,3.1117,80168.2,3.1233,289946.74,0.0,4.25,,
2020-07-15,13351.06,3.514766,1.8,4.1,186022.85,3.125,82346.33,3.1003,281720.24,0.0,4.25,,
2020-07-16,13200.07,3.529064,1.8,4.1,179954.35,3.1409,79637.07,3.1004,272791.49,90.0,4.25,,
2020-07-17,1222.16,3.581297,2.15,4.1,3730.0,3.438584,0.0,,4952.16,55.0,4.25,,
2020-07-18,1170.95,3.097024,2.15,4.1,4526.95,3.2922,0.0,,5697.9,0.0,4.25,,
2020-07-19,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,4.25,,
2020-07-20,13572.36,3.478761,1.8,4.1,166306.3,3.1667,75882.3,3.1632,255760.96,20.0,4.25,,
2020-07-21,11561.33,3.425061,1.8,4.1,164704.55,3.1781,80022.72,3.1796,256288.6,0.0,4.25,,
2020-07-22,12544.33,3.482951,1.8,4.1,192794.45,3.1793,76630.92,3.1929,281969.7,60.0,4.25,,
2020-07-23,12647.14,3.483914,1.8,4.1,191829.3,3.1628,83570.39,3.1826,288046.83,0.0,4.25,,
2020-07-24,12187.87,3.4234,1.8,4.1,195747.25,3.1771,83611.58,3.1661,291546.7,0.0,4.25,,
2020-07-26,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,4.25,,
2020-07-27,12497.37,3.483361,1.8,4.1,178868.4,3.1158,85514.91,3.1856,277080.68,0.0,4.25,,
2020-07-28,10761.4,3.475906,1.8,4.1,186866.2,3.1246,84163.37,3.1282,281790.97,0.0,4.25,,
2020-07-29,12316.22,3.470158,1.8,4.1,160658.05,3.1622,91837.1,3.147,265561.37,4.0,4.25,,
2020-07-30,12421.04,3.449341,1.8,4.1,165299.5,3.1751,89982.67,3.1783,268453.21,0.0,4.25,,
2020-07-31,9754.85,3.478519,1.8,4.1,188895.65,3.1634,83288.17,3.1394,282688.67,80.0,4.25,,
2020-08-02,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,4.25,,
2020-08-03,9642.09,3.481498,1.8,4.1,160872.35,3.175,95012.71,3.1756,265527.15,0.0,4.25,,
2020-08-04,10917.05,3.394417,1.8,4.1,174238.55,3.1765,95157.84,3.1281,280313.44,53.0,4.25,,
2020-08-06,11661.86,3.411258,1.8,4.1,148874.95,2.9036,96076.05,3.0075,257612.86,0.0,4.25,,
2020-08-07,11904.07,3.438827,1.8,4.1,153299.2,3.1834,97925.7,2.9727,263728.97,65.0,4.25,,
2020-08-09,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,4.25,,
2020-08-10,11520.38,3.433731,1.8,4.1,150797.8,3.2005,95279.17,3.0549,258097.35,0.0,4.25,,
2020-08-11,9392.21,3.465487,1.8,4.1,158703.65,3.2028,88959.67,3.0516,257555.53,0.0,4.25,,
2020-08-12,10801.18,3.493359,1.8,4.1,173273.3,3.1853,86312.88,3.0527,270387.36,0.0,4.25,,
2020-08-13,11400.26,3.440118,1.8,4.1,179443.1,3.1831,81515.06,3.0609,272358.42,0.0,4.25,,
2020-08-14,12387.58,3.449475,1.8,4.1,185438.05,3.1814,82419.59,3.0933,280745.22,12.0,4.25,,
2020-08-16,0.0,,0.0,0.0,0.0,,0.0,,0.0,2.0,4.25,,
2020-08-17,12345.22,3.478187,1.8,4.1,188833.7,3.1955,80231.44,3.064,281410.36,0.0,4.25,,
2020-08-18,10961.23,3.416838,1.8,4.1,193287.95,3.1957,76497.81,3.1331,280746.99,0.0,4.25,,
2020-08-19,12243.48,3.418906,1.8,4.1,186901.85,3.2018,72973.8,3.1606,272319.13,2.0,4.25,,
2020-08-20,12061.85,3.432188,1.8,4.1,238472.25,2.9508,84852.98,2.9596,335387.08,0.0,4.25,,
2020-08-21,11386.7,3.428942,1.8,4.1,227025.1,3.0145,83878.68,2.9624,322290.48,0.0,4.25,,
2020-08-23,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,4.25,,
2020-08-24,11065.24,3.425241,1.8,4.1,209100.95,3.084,87971.2,3.0737,308137.39,202.0,4.25,,
2020-08-25,11184.81,3.429067,1.8,4.1,206030.85,3.0936,95301.65,3.0863,312642.31,1.0,4.25,,
2020-08-26,12703.54,3.442019,1.8,4.1,207108.6,3.0371,92831.09,3.0361,312768.23,4.0,4.25,,
2020-08-27,13298.29,3.431639,1.8,4.1,218864.05,3.0237,100259.47,2.9806,332546.81,0.0,4.25,,
2020-08-28,215.5,3.177146,2.4,3.35,2240.0,3.1966,0.0,,2455.5,300.0,4.25,,
2020-08-29,138.5,3.138628,2.8,3.3,6835.3,3.2781,0.0,,6973.8,0.0,4.25,,
2020-08-30,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,4.25,,
2020-08-31,10334.0,3.452355,1.8,4.1,202921.3,3.0183,100168.94,2.9833,313424.24,250.0,4.25,,
2020-09-01,11264.06,3.433065,1.8,4.1,197593.9,3.0031,99782.71,2.9579,308640.67,104.0,4.25,,
2020-09-02,13531.54,3.423398,1.8,4.1,203443.15,2.9969,93189.57,2.9708,310214.26,215.0,4.25,,
2020-09-03,14918.24,3.423398,1.8,4.05,214727.25,2.9964,88048.65,2.9628,317744.14,5.0,4.25,,
