Quarter,Sector,State,Response_Code,HH_Size,HH_Type,Religion,Social_Group,Exp_Goods_Services,Exp_Home_Grown,Total_Monthly_Exp,Land_Code,Rent_Income,Interest_Income,Pension_Income,Total_Income
Q1,1,9,1,7,1,1,3,8500,3000,14458,1,0,200,0,700
Q1,1,6,1,5,5,1,2,8500,0,9708,1,0,100,0,100
Q1,1,24,1,6,1,1,9,25000,6500,32400,1,0,0,1250,1250
Q1,1,8,1,4,1,1,2,5000,2000,8433,1,0,0,1500,1500
Q1,1,19,1,5,5,1,9,6800,310,8145,1,0,0,0,2000
Q1,1,27,1,3,4,1,3,8000,0,9000,1,0,0,0,1500
Q1,1,8,1,5,9,1,2,20000,0,21917,1,0,0,0,15000
Q1,1,27,1,8,1,1,3,12500,2500,22283,1,0,850,1000,4850
Q1,1,3,1,3,1,4,9,13000,5000,19958,1,0,1500,0,1500
Q1,2,34,1,6,2,1,3,15000,0,16817,1,0,0,4500,4500
Q1,1,33,1,6,5,2,3,20000,0,21787,1,0,0,0,0
Q1,1,23,1,4,1,1,3,6930,3125,15890,10,6000,103,0,8603
Q1,1,33,1,2,1,1,3,15000,20,17530,1,0,250,20000,20250
Q1,1,8,1,4,1,1,3,9000,6000,17000,1,0,0,0,0
Q1,1,16,1,4,2,1,2,15000,200,16317,1,0,0,0,0
Q1,1,17,1,6,3,3,1,12400,200,14341,1,0,120,0,120
Q1,1,8,1,5,2,1,2,20000,0,22442,1,0,0,0,0
Q1,1,3,1,3,3,1,3,8000,0,10233,1,0,400,0,400
Q1,1,8,1,6,2,1,3,15000,2000,19250,1,0,0,1000,1000
Q1,1,28,1,3,3,1,9,15000,0,16267,1,0,0,4000,4000
Q1,1,19,1,2,2,1,2,10000,0,10792,1,0,100,0,10100
Q1,1,29,1,4,1,1,3,15000,1500,18150,1,0,2500,0,4500
Q1,1,10,1,6,1,1,9,6000,3500,12208,1,0,1500,500,2000
Q1,1,8,1,5,1,1,9,12000,2000,43000,1,0,0,0,0
Q1,1,18,1,5,2,1,9,8500,550,10613,1,0,125,0,6375
Q1,1,8,1,6,3,1,2,20000,0,22883,6,6000,0,0,6000
Q1,1,12,1,2,3,1,9,4600,0,5992,1,0,0,0,0
Q1,1,23,1,1,3,1,9,4200,0,5325,1,0,1250,0,3250
Q1,1,6,1,3,1,1,9,12000,4000,17150,1,0,300,0,300
Q1,1,29,1,5,1,1,9,5200,520,7345,1,0,0,1200,3200
Q1,1,36,1,5,1,1,1,10050,860,12830,1,0,0,0,0
Q1,1,10,1,2,1,1,9,3000,1200,11117,1,0,0,0,0
Q1,1,21,1,3,5,1,1,12000,500,15167,1,0,0,1000,6000
Q1,1,19,1,4,5,1,2,10000,2500,15867,1,0,0,1200,1200
Q1,1,10,1,5,1,1,3,8000,6000,16483,1,0,0,0,0
Q1,1,10,1,8,1,1,3,10000,1500,13667,1,0,0,400,400
Q1,1,24,1,7,1,1,1,4500,900,6163,1,0,70,0,70
Q1,1,8,1,6,1,1,3,6000,4000,11600,1,0,0,2000,2000
Q1,1,9,1,3,1,1,3,4000,1500,6209,1,0,160,500,660
Q1,1,9,1,6,1,1,3,6000,1700,10475,1,0,0,0,5500
Q1,1,27,1,7,1,1,3,8000,1500,11783,1,0,0,500,2500
Q1,1,27,1,4,1,1,9,7600,950,13090,1,0,650,1500,5150
Q1,1,10,1,3,1,1,2,8000,3000,13917,1,0,500,0,3500
Q1,1,18,1,6,1,1,1,5200,1300,8458,1,0,0,0,1250
Q1,1,32,1,3,2,2,3,13500,160,19702,1,0,0,9550,9550
Q1,1,16,1,5,2,1,9,17000,1000,19442,1,0,0,0,0
Q1,1,28,1,3,5,1,9,6450,1000,8700,1,0,0,0,0
Q1,1,20,1,7,1,2,3,6000,1800,9417,1,0,100,2000,2100
Q1,1,3,1,4,1,4,9,10000,2700,15900,1,0,100,0,100
Q1,1,33,1,1,3,1,3,4000,550,7083,1,0,0,0,0
Q1,1,28,1,3,1,1,9,14800,1000,18208,1,0,0,0,0
Q1,1,10,1,5,9,1,2,7500,2000,11167,1,0,0,22000,22000
Q1,1,28,1,2,1,1,9,12500,500,14375,1,0,0,4000,4000
Q1,1,10,1,6,2,1,3,5500,0,7175,1,0,0,500,500
Q1,1,10,1,4,3,1,2,8000,5000,14492,1,0,500,0,500
Q1,1,6,1,4,5,1,2,7000,0,7958,1,0,0,0,0
Q1,1,20,1,3,2,1,3,12000,250,14692,1,0,120,0,120
Q1,1,27,1,4,3,1,3,12000,900,14150,1,0,0,0,1500
Q1,1,23,1,2,1,1,3,6000,1500,9817,6,5000,150,30500,35650
Q1,1,19,1,3,1,1,2,14000,2050,17322,1,0,1158,0,1158
Q1,1,27,1,3,2,1,9,6000,600,10258,1,0,600,0,2100
Q1,1,9,1,3,2,1,3,6000,3000,10733,1,0,0,0,0
Q1,1,9,1,8,5,1,3,10000,2500,14217,1,0,0,0,0
Q1,1,8,1,4,5,1,2,8000,1000,11767,1,0,0,0,0
Q1,1,6,1,2,1,1,9,7000,4000,13342,1,0,0,0,20000
Q1,1,9,1,4,1,1,2,7595,0,9363,1,0,0,0,0
Q1,1,2,1,3,1,1,9,7400,1600,10083,1,0,1500,0,4500
Q1,1,18,1,6,2,2,9,8000,200,9975,1,0,200,0,200
Q1,1,10,1,2,1,1,2,3500,1500,5625,4,2000,0,800,2800
Q1,1,27,1,2,3,1,3,5000,0,5330,1,0,0,0,0
Q1,1,20,1,2,1,1,3,6550,260,7381,1,0,125,0,1125
Q1,1,23,1,6,1,1,1,8000,2160,12360,1,0,101,0,2601
Q1,1,24,1,1,4,1,9,3500,0,3858,1,0,0,2000,2500
Q1,1,19,1,7,1,1,9,13000,1500,17292,1,0,1000,0,1000
Q1,1,29,1,2,2,1,9,5000,0,7283,1,3000,0,0,5000
Q1,1,23,1,7,1,1,1,26000,4000,33917,1,0,250,0,4750
Q1,1,8,1,2,1,1,3,5600,1200,8033,1,0,3600,25000,28600
Q1,1,23,1,2,1,1,3,7500,1800,11631,10,6000,1800,0,7800
Q1,1,9,1,4,5,1,2,6450,3250,11660,1,0,175,0,175
Q1,1,9,1,4,3,1,2,3280,1250,6098,1,0,0,0,0
Q1,1,19,1,6,1,1,1,12000,3000,18067,1,0,200,0,1400
Q1,1,33,1,4,2,1,3,13500,1950,17658,1,0,5600,0,5600
Q1,1,33,1,5,5,1,2,12850,135,13852,1,0,0,0,1500
Q1,1,29,1,4,5,1,3,7500,0,9350,1,0,0,0,0
Q1,1,23,1,4,3,1,3,16500,0,18800,1,7500,1200,0,9950
Q1,1,9,1,1,1,1,9,3580,240,4962,1,0,130,1000,1130
Q1,1,8,1,5,2,1,3,12000,3000,18538,1,0,1200,0,1200
Q1,1,1,1,2,5,2,3,5000,2000,8917,1,0,0,0,0
Q1,1,24,1,4,2,1,3,8000,4000,13050,1,0,130,0,130
Q1,1,28,1,2,2,1,9,6800,0,8288,6,3000,173,0,3173
Q1,1,9,1,4,1,1,9,5500,430,7420,1,0,140,1000,1140
Q1,1,3,1,6,1,4,9,10000,9500,24858,1,0,0,0,0
Q1,1,11,1,4,2,1,3,10000,0,11750,1,0,0,0,0
Q1,1,33,1,6,2,1,3,12000,300,13580,1,0,2500,1000,8500
Q1,1,9,1,4,1,1,3,6500,2700,10275,1,0,180,1000,1180
Q1,1,21,1,4,1,1,1,7500,1400,11042,1,0,350,0,350
Q1,1,8,1,4,3,1,2,5000,3000,9600,1,0,0,1150,1150
Q1,1,36,1,3,1,1,1,5400,300,11917,1,0,0,0,0
Q1,1,9,1,6,3,1,3,3500,2000,7967,1,0,0,0,0
Q1,1,32,1,5,3,2,3,15500,650,18175,1,0,0,0,1600
Q1,1,22,1,4,1,1,1,4600,750,7463,1,0,0,2000,2000
Q1,1,23,1,4,3,1,9,8000,1650,10817,1,0,2250,0,3500
Q1,1,8,1,7,2,1,2,9500,600,12808,1,0,500,1150,1650
Q1,2,34,1,3,2,1,3,10000,0,11300,1,0,0,2500,10500
Q1,1,9,1,4,1,1,3,3500,1700,5975,6,1200,0,0,1200
Q1,1,32,1,3,5,2,3,15200,180,17238,1,0,0,0,0
Q1,1,18,1,2,4,1,3,6710,0,7685,1,0,102,1250,1352
Q1,1,3,1,6,5,4,2,8500,0,11458,1,0,0,0,1000
